100000 99999
22439 22440 9634
67271 67272 8658
64310 64311 9507
68526 68527 8162
42767 42768 9720
72381 72382 8651
78482 78483 8597
41369 41370 8303
68039 68040 8041
50164 50165 8408
72128 72129 8558
39566 39567 9456
88697 88698 9874
58610 58611 8545
6086 6087 8283
29235 29236 8700
85484 85485 9626
11385 11386 8634
45188 45189 8303
50223 50224 9584
30937 30938 9923
96599 96600 9618
17179 17180 8154
36954 36955 9062
64995 64996 8804
69285 69286 9873
20583 20584 8258
32420 32421 9728
53068 53069 8504
71400 71401 9572
79869 79870 9799
43958 43959 9403
48703 48704 9074
67261 67262 9990
56729 56730 9823
97578 97579 8032
28619 28620 8774
56618 56619 9313
8446 8447 9191
78526 78527 8864
7854 7855 9288
29704 29705 9563
12917 12918 9838
75608 75609 9198
76284 76285 9493
12160 12161 9290
60493 60494 9367
41673 41674 8351
94670 94671 9934
74442 74443 8408
2482 2483 9407
46619 46620 9122
28669 28670 8314
91171 91172 8593
59397 59398 8913
51809 51810 9826
4672 4673 9675
56484 56485 8683
11826 11827 8292
11776 11777 8051
42519 42520 9125
64918 64919 8382
22776 22777 9963
29304 29305 9091
70119 70120 9577
78439 78440 8662
32371 32372 8846
61223 61224 9819
44048 44049 9937
79731 79732 8723
4922 4923 8459
23697 23698 9295
60031 60032 9273
93720 93721 9938
47312 47313 8392
70608 70609 8021
28026 28027 8439
87644 87645 8233
41205 41206 9888
84424 84425 8018
92379 92380 8723
99704 99705 9399
53382 53383 9132
42683 42684 8635
21586 21587 9227
58572 58573 8517
59530 59531 8122
65788 65789 9501
62042 62043 8946
77384 77385 9755
57876 57877 8083
87023 87024 9520
64316 64317 9586
49544 49545 9377
45050 45051 9150
33317 33318 8667
69934 69935 8900
67987 67988 9802
10375 10376 9288
68206 68207 8716
85393 85394 9316
56451 56452 8627
96625 96626 9514
76311 76312 9386
96871 96872 9706
44212 44213 8648
54118 54119 9098
91312 91313 9895
69961 69962 8353
54288 54289 8511
11367 11368 9568
43621 43622 9489
13527 13528 9394
97607 97608 8216
2155 2156 8800
81524 81525 8816
81194 81195 8612
95097 95098 9437
58784 58785 8174
65941 65942 9777
28105 28106 9131
78657 78658 9427
63465 63466 8118
71137 71138 8981
55574 55575 9643
31056 31057 9485
14673 14674 8647
91346 91347 8249
47134 47135 9318
12147 12148 9371
89687 89688 8656
64352 64353 8025
15051 15052 8371
92206 92207 9007
80263 80264 9884
1034 1035 8092
82203 82204 8551
45532 45533 9509
97094 97095 9305
55065 55066 8550
2709 2710 9444
54418 54419 9679
62807 62808 9133
55214 55215 9719
32617 32618 8689
47566 47567 8102
44935 44936 8763
54126 54127 9859
28694 28695 8611
45433 45434 9762
58647 58648 9436
3303 3304 9482
23506 23507 9459
64976 64977 9896
71319 71320 9026
65329 65330 9968
36148 36149 9359
27565 27566 8955
4651 4652 8349
48571 48572 9032
87191 87192 9393
13548 13549 9885
25598 25599 9141
77958 77959 8059
1018 1019 9176
75578 75579 9709
26218 26219 9154
98970 98971 9197
29842 29843 9925
93569 93570 8637
24433 24434 9783
6877 6878 9153
44156 44157 8986
50326 50327 9773
28395 28396 8924
82667 82668 9632
77088 77089 9158
86168 86169 9393
38211 38212 9827
50343 50344 9657
71271 71272 9627
45486 45487 9464
89955 89956 9481
95572 95573 9909
72911 72912 9492
11545 11546 8624
72325 72326 8784
28054 28055 8712
